[[wikidata:Q12263636]],Mikel Telleria,
[[wikidata:Q12263675]],Minxoriak,
[[wikidata:Q12263691]],Miren Aranburu,
[[wikidata:Q207796]],Mirotz,
[[wikidata:Q12263737]],Mixu,
[[wikidata:Q97207081]],Mocker's,
[[wikidata:Q45614]],moxal,
[[wikidata:Q61069327]],Mr. Pongo Band,
[[wikidata:Q31188272]],Mushkum,
[[wikidata:Q12263950]],Muted,
[[wikidata:Q12263959]],Mutürbeltz,
[[wikidata:Q31723123]],Nahiko,
[[wikidata:Q31188073]],Nahixan,
[[wikidata:Q31188175]],Naizroxa,
[[wikidata:Q215865]],Nakar,
[[wikidata:Q31187982]],Neallta Fola,
[[wikidata:Q31188258]],Nebbian,
[[wikidata:Q61069335]],Neighbor,
[[wikidata:Q61070571]],"Neu,e Buruben",
[[wikidata:Q9049615]],Neubat,
[[wikidata:Q3236990]],Ni,
[[wikidata:Q31188084]],Nik Khaos,
[[wikidata:Q61361743]],Niketz,
[[wikidata:Q31188349]],Niña Coyote eta Chico Tornado,
[[wikidata:Q31188238]],Nizuri Tazuneri,
[[wikidata:Q12264890]],Noizeanbehin,
[[wikidata:Q12264921]],Norte Apache,
[[wikidata:Q558347]],Numen,
[[wikidata:Q12264951]],Nun,
[[wikidata:Q97207130]],Occhi di Farfalla,
[[wikidata:Q31187995]],Odolaren Mintzoa,
[[wikidata:Q12265126]],Oliba Gorriak,
[[wikidata:Q764]],onddo,
[[wikidata:Q2512035]],Orbel,
[[wikidata:Q61365667]],Orreaga 778,
[[wikidata:Q31188353]],Oso Fan,
[[wikidata:Q85966646]],Osto eta Ale,
[[wikidata:Q7148804]],Patxi Andion,
[[wikidata:Q31188375]],Patxuko Nice,
[[wikidata:Q61362930]],Pauline & Juliette,
[[wikidata:Q30149739]],Pelax,
[[wikidata:Q61364324]],Perlak,
[[wikidata:Q5788]],Petra,
[[wikidata:Q12266009]],Piztiak,
[[wikidata:Q14123862]],pleura,
[[wikidata:Q12266170]],Potemkin,
[[wikidata:Q1890204]],Pottoka,
[[wikidata:Q97203946]],Potx eta Lotx,
[[wikidata:Q61364331]],Puto Amoak Matematiketan,
[[wikidata:Q9852]],R,
[[wikidata:Q12266408]],Rafa Rueda,
[[wikidata:Q61362041]],Raust!,
[[wikidata:Q20493041]],Revolta Permanent,
[[wikidata:Q207703]],Rodeo,
[[wikidata:Q97207229]],Saia Goait,
[[wikidata:Q31188055]],Saioa taldea,
[[wikidata:Q12267113]],Sasoi Ilunak,
[[wikidata:Q61365366]],Satelitik,
[[wikidata:Q943935]],Seitan,
[[wikidata:Q12267280]],Seiurte,
[[wikidata:Q12267286]],Selektah Kolektiboa,
[[wikidata:Q18237]],Sen,
[[wikidata:Q31188111]],Sermond's,
[[wikidata:Q12267372]],Sharon Stoner,
[[wikidata:Q61364434]],Siroka,
[[wikidata:Q31187954]],Skakeitan,
[[wikidata:Q31188354]],Skasti,
[[wikidata:Q3486404]],Skunk,
[[wikidata:Q131514]],Sofa,
[[wikidata:Q31188110]],Sohano,
[[wikidata:Q12267537]],Soroak laukoa,
[[wikidata:Q31188246]],Sorotan Babies,
[[wikidata:Q1120851]],Sorotan Bele,
[[wikidata:Q12267672]],Split 77,
[[wikidata:Q97207291]],Striknina,
[[wikidata:Q31188017]],Stupenda Jones,
[[wikidata:Q61365798]],Suaia eta Ama Rebel,
[[wikidata:Q31188275]],Sueder,
[[wikidata:Q12267729]],Sugan,
[[wikidata:Q12267752]],Surfin Kaos,
[[wikidata:Q31188013]],Sustrajah Band,
[[wikidata:Q185789]],Tanta,
[[wikidata:Q3394050]],Tapia eta Leturia,
[[wikidata:Q1638155]],Tara,
[[wikidata:Q109331968]],Tatxers,
[[wikidata:Q31188345]],The Crazy Wheels Band,
[[wikidata:Q31188181]],The Icer Company,
[[wikidata:Q61365504]],The Potes,
[[wikidata:Q12267955]],The Solanos,
[[wikidata:Q31188057]],The Sparteens,
[[wikidata:Q9087162]],The Uski's,
[[wikidata:Q82070]],Tiro,
[[wikidata:Q41057]],Topeka,
[[wikidata:Q234731]],Torii,
[[wikidata:Q61361958]],Trepi eta Arawak,
[[wikidata:Q61361348]],Trini Fox,
[[wikidata:Q61362167]],Ttun Ttun Brigade,
[[wikidata:Q12268315]],Txakun,
[[wikidata:Q12268321]],Txanbela,
[[wikidata:Q12268332]],Txapelpunk,
[[wikidata:Q61364808]],Txorroskilo,
[[wikidata:Q61364971]],Txost!,
[[wikidata:Q31723098]],Unama,
[[wikidata:Q1443823]],Unidad Alavesa,
[[wikidata:Q61365182]],Urgatz,
[[wikidata:Q12268711]],Urretxindorrak,
[[wikidata:Q61362861]],Velozet,
[[wikidata:Q31188030]],Voltaia,
[[wikidata:Q40680945]],Xabi San Sebastian,
[[wikidata:Q12269033]],Xabier Madina,
[[wikidata:Q31188018]],Xaiko,
[[wikidata:Q12269058]],Xalbador eta Ihidoi,
