193,Belaya Gora,Igor Lez Atxagak eta Alex Aranak osatzen dute Belaya Gora.,2017,Mutriku (Gipuzkoa),['Pop-rocka'],https://www.badok.eus/euskal-musika/belaya-gora
196,Beñaranks,,1993,Donostia,"['Rapa', 'Reggaea']",https://www.badok.eus/euskal-musika/benaranks
218,Bilaka,,2016,Baiona,"['Folka', 'Post-rocka', 'Progresiboa']",https://www.badok.eus/euskal-musika/bilaka
219,Bilau,,,Ainhize-Monjolose (Nafarroa Beherea),"['Folka', 'Progresiboa']",https://www.badok.eus/euskal-musika/bilau
220,Bilbomatiks,,,Bilbo,"['Reggaea', 'Ska']",https://www.badok.eus/euskal-musika/bilbomatiks
221,Billy Club,,2019,Legazpi (Gipuzkoa),"['Rocka', 'Rock&rolla']",https://www.badok.eus/euskal-musika/billy-club
226,Biruss,,,,['Punka'],https://www.badok.eus/euskal-musika/biruss
235,Blanquita Carraquela,,2020,Donostia,['[]'],https://www.badok.eus/euskal-musika/blanquita-carraquela
238,Bob Xatar,,2009,Ziburu (Lapurdi),['Rocka'],https://www.badok.eus/euskal-musika/bob-xatar
239,Bolbora,,2009,,"['Reggaea', 'Ska-rocka']",https://www.badok.eus/euskal-musika/bolbora
240,Bonberenea Txaranga,,2005,Tolosa (Gipuzkoa),['[]'],https://www.badok.eus/euskal-musika/bonberenea-txaranga
242,Borrokan,"Ia hogei urte daramatzate elkarrekin jotzen Berako (Nafarroa) talde honetako kideek, baina bi hamarkada hauetan hiru disko baino ez dituzte argitaratu. Batetik, gauzak patxadaz egitea maite dutelako, euren erritmora, denbora osoa taldeari eskaini gabe; bestetik, taldearen musikak, rocka izanagatik, egitura bihurri eta konplexuak eta ñabardura ugari gordetzen dituelako. Taldekideetako batzuk beste proiektu batzuetan egon dira, Onddo, Petti eta Etxeko Uzta eta On Benito, kasu.",1996,Bera (Nafarroa),['Post-hardcorea'],https://www.badok.eus/euskal-musika/borrokan
243,Bostenbor,,,,['[]'],https://www.badok.eus/euskal-musika/bostenbor
249,Broken Legacy,,2016,Oñati (Gipuzkoa),['Metala'],https://www.badok.eus/euskal-musika/broken-legacy
254,Bullets of Misery,,2008,Gernika (Bizkaia),['Metala'],https://www.badok.eus/euskal-musika/bullets-of-misery
256,Burrundaria,,1989,Donostia,['Soinu-banda'],https://www.badok.eus/euskal-musika/burrundaria
258,Burun Danga,,,Donostia,['[]'],https://www.badok.eus/euskal-musika/burun-danga
259,Burutik,"Eskusoinua ideia berritzaileetan egokitzea, eta ideia berritzaileei eskusoinua gehitzea, horra Iruñeko Burutik boskotearen asmoetako bat.",2019,,['Rocka'],https://www.badok.eus/euskal-musika/burutik
263,Carcascara,"Fernando Agirrek, Xabier Iriondok eta Iñigo Ugarteburuk sortu zuten Carcascara proiektua, Cafe Teatro taldean zebiltzala. 2007an argitaratu zuten lehen LPa, eta 2022an bigarrena.",2007,,['Esperimentala'],https://www.badok.eus/euskal-musika/carcascara
264,Catch & Soul,,2020,Santurtzi (Bizkaia),"['Jazza', 'Soula', 'Funka']",https://www.badok.eus/euskal-musika/catch-soul
266,Ciervoworld,,,,['[]'],https://www.badok.eus/euskal-musika/ciervoworld
268,Conflict Noise,,1999,Bilbo,['Metala'],https://www.badok.eus/euskal-musika/conflict-noise
271,D-Rais,,2008,Bilbo,"['Punk-rocka', 'Ska']",https://www.badok.eus/euskal-musika/d-rais
274,Damudot,,2001 - 2015,Mallabia (Bizkaia),"['Metala', 'Thrasha']",https://www.badok.eus/euskal-musika/damudot
275,Danajan,,2020,Donostia,['Rocka'],https://www.badok.eus/euskal-musika/danajan
280,Debekatua,,1994,Irun (Gipuzkoa),['Rap-metala'],https://www.badok.eus/euskal-musika/debekatua
287,Des-kontrol,,1996,,['Punk-Oi!'],https://www.badok.eus/euskal-musika/des-kontrol
288,Desgaraian,,,,['Popa'],https://www.badok.eus/euskal-musika/desgaraian
297,DJ Makala & Korrontzi,,2019,"Zarautz, Mungia","['Folka', 'Trikitia', 'Elektronikoa']",https://www.badok.eus/euskal-musika/dj-makala-korrontzi
299,Dodosound,,,,['[]'],https://www.badok.eus/euskal-musika/dodosound
300,Doktor Deslai,,1995 - 2003,Hendaia (Lapurdi),['Reggaea'],https://www.badok.eus/euskal-musika/doctor-deslai
302,Don't Save The Queen,,,,['Rocka'],https://www.badok.eus/euskal-musika/god-save-the-queen
305,Duenak Azer Piper,,1990,Arrigorriaga (Bizkaia),['Rocka'],https://www.badok.eus/euskal-musika/duenak-azer-piper
312,Edu Iriondo,"1973-77 urteetan orduko kantaldien mugimenduan kantautore ibilitakoa da Edu Iriondo. Institutuko irakasle ogibidez, kantak sortzen eta prestatzen ibili da urteetan. 2013an lehen disko-liburua argitaratu zuen, “11 istorio musikatu”, eta 2020an bigarren disko-liburua kaleratu du: “Satorra eta gu”, 11 kanta berrik osatua. Letrak eta musika beronek sortuak dira. (Argazkia: ‘Barren’ aldizkaria)",1954,Elgoibar (Gipuzkoa),['Kantautorea'],https://www.badok.eus/euskal-musika/edu-iriondo
314,Egun Beltzak,,,Irun (Gipuzkoa),['[]'],https://www.badok.eus/euskal-musika/egun-beltzak
318,EHZ Festibala,,,,['[]'],https://www.badok.eus/euskal-musika/EHZ%20Festibala
322,Ekida,,,,['[]'],https://www.badok.eus/euskal-musika/ekida
327,El Puto Ior,"Left Coast Gang eta N2OGU kolektiboetako partaide izan zen El Puto Ior MC bizkaitarra. El Sindicato (SDR) taldean parte hartu zuen, eta ordutik errimak sortzen ibili da hainbat proiektutan.",,Portugalete (Bizkaia),['Rapa'],https://www.badok.eus/euskal-musika/el-puto-ior
330,"Elena Setien, Grande Days, Xabier Erkizia",,,"Donostia, Lesaka (Nafarroa)",['Rocka'],https://www.badok.eus/euskal-musika/elena-setien-grande-days-xabier-erkizia
332,Eli eta Manex Pagola,,,"Ereñotzu (Hernani, Gipuzkoa)",['Bertsoa'],https://www.badok.eus/euskal-musika/eli-eta-manex-pagola
333,Elizabeltz,,2018,Bermeo (Bizkaia),"['Metala', 'Rocka']",https://www.badok.eus/euskal-musika/elizabeltz
337,Elurretan,,2003 - 2009,Ordizia (Gipuzkoa),['Popa'],https://www.badok.eus/euskal-musika/elurretan
341,Enarak,,1967 - 1970,,['Popa'],https://www.badok.eus/euskal-musika/enarak
344,Enbor,,1978 - 1981,Bilbo,"['Rocka', 'Progresiboa']",https://www.badok.eus/euskal-musika/enbor
345,Enbor Arnasa,Iñaki Espartzaren proiektua da Enbor Arnasa. Musika irakasle eta Geure Gogoa grabazio estudioan soinu teknikaria da Espartza.,,Ugao (Bizkaia),['[]'],https://www.badok.eus/euskal-musika/enbor-arnasa
346,Endemaño,,2012 - 2015,Meñaka (Bizkaia),['[]'],https://www.badok.eus/euskal-musika/endemano
347,Endika Lahaine & Hawaiiano Kid,,2020,Barakaldo (Bizkaia),['Rapa'],https://www.badok.eus/euskal-musika/endika-lahaine-hawaiiano-kid
348,Ene Kantak,"Euskarazko haurrentzako abestiak sortzen ditu Ene Kantak-ek, bideo eta koreografiekin. Gainera, ikuskizun eta antzerki musikalak ere antolatzen dituzte.",2011,,['[]'],https://www.badok.eus/euskal-musika/ene-kantak
349,Eneko Dorronsoro,,1980,Ataun (Gipuzkoa),['Trikitia'],https://www.badok.eus/euskal-musika/eneko-dorronsoro
350,Eneko Labegerie,,1954,Kanbo (Lapurdi),"['Herri', 'kanta']",https://www.badok.eus/euskal-musika/eneko-labegerie
354,Eorann,"2002. eta 2008. urteen artean Birkite Alonsok eta Gontzal Caraballok sortutako taldeak pop-rock, post eta noise doinuak maneiatu zituen, hiru lan grabatu zituen eta Bilboko zirkuitu independentean ezagun egin zen.",2002 - 2008,Bilbo,"['Pop-rocka', 'Noise-Rocka']",https://www.badok.eus/euskal-musika/eorann
357,Erasoka,,2008,"Algorta (Getxo, Bizkaia)","['Punk-rocka', 'Punk-Oi!']",https://www.badok.eus/euskal-musika/erasoka
360,Erbestean,,,Bilbo,['[]'],https://www.badok.eus/euskal-musika/erbestean
364,Erraiak,"Abestiak, literatura eta irudiak batzen dituen proiektua da Erraiak.",2016,Azpeitia,['Pop-rocka'],https://www.badok.eus/euskal-musika/erraiak
367,Errietan,,,Mutriku (Gipuzkoa),['Pop-rocka'],https://www.badok.eus/euskal-musika/errietan
371,Erronkak,"Erronkak taldea 2020ko apirilean sortu zuten Nafarroako Deierriko Allotz herrian Txari Eletak (gitarra eta ahotsa), Iñaki Barrenak (baxua eta koruak) eta Ibon Irigoienek (bateria eta perkusioa). Beste proiektu batzuetan ibili ondoren, herrian bertan elkartzea erabaki zuten musikarekin jolasteko eta gozatzeko, eta inguruko beste musikazale eta artistekin aritzeko asmoz.",2020,Allotz (Nafarroa),['Popa'],https://www.badok.eus/euskal-musika/erronkak
376,Espartzu,Pello eta Gaizka Arrue anaiek osatzen dute Espartzu.,,Azpeitia (Gipuzkoa),['[]'],https://www.badok.eus/euskal-musika/espartzu
377,Estankona,,1979,Artea (Bizkaia),['Rocka'],https://www.badok.eus/euskal-musika/estankona
378,Esti eta Mikel Markez,,,Aia (Gipuzkoa),['Kantautorea'],https://www.badok.eus/euskal-musika/esti-eta-mikel-markez
382,Estricalla,,2009,,['Hardcorea'],https://www.badok.eus/euskal-musika/estricalla
383,Estu & Larri,,,,['Ska-rocka'],https://www.badok.eus/euskal-musika/estu-larri
385,Etorkizun Beltza,,2008,Gernika (Bizkaia),['Metala'],https://www.badok.eus/euskal-musika/etorkizun-beltza
387,Etsaiakeroak,,2016,Lekeitio (Bizkaia),"['Hardcorea', 'Punka']",https://www.badok.eus/euskal-musika/etsaiakeroak
391,Etxekalte + Habi,,2020,"Bermeo (Bizkaia), Villabona (Gipuzkoa)",['Rocka'],https://www.badok.eus/euskal-musika/etxekalte-habi
392,Etxepare Rap,,,,['Rapa'],https://www.badok.eus/euskal-musika/etxepare-rap
394,Euskanta,,,,['[]'],https://www.badok.eus/euskal-musika/euskanta
395,Euskaros,,,,['Popa'],https://www.badok.eus/euskal-musika/euskaros
396,Euskatalites,,2013,Iruñea,"['Reggaea', 'Ska']",https://www.badok.eus/euskal-musika/euskatalites
397,Exkixu,,1991 - 1997,Gernika-Lumo (Bizkaia),['Rocka'],https://www.badok.eus/euskal-musika/exkixu
398,Exstingure,,,,['Elektronikoa'],https://www.badok.eus/euskal-musika/exstingure
399,Ez Dok Amairu,,1966 - 1972,,"['Folka', 'Herri', 'kanta']",https://www.badok.eus/euskal-musika/ez-dok-amairu
401,Ezin Eta,,,Donibane Lohizune (Lapurdi),['Rocka'],https://www.badok.eus/euskal-musika/ezin-eta
404,Ezpalak,,2019,Zestoa (Gipuzkoa),['Rocka'],https://www.badok.eus/euskal-musika/ezpalak
405,Eztanda,,2015,Tolosa (Gipuzkoa),"['Metala', 'Thrasha']",https://www.badok.eus/euskal-musika/eztanda
406,Eztandap,,2019,"Zornotza, Ea (Bizkaia)",['Rocka'],https://www.badok.eus/euskal-musika/eztandap
407,Ezurte,,,"Zizur, Gares (Nafarroa)","['Hardcorea', 'Rocka']",https://www.badok.eus/euskal-musika/ezurte
409,Far Far,,2015,,['Rocka'],https://www.badok.eus/euskal-musika/far-far
410,FastFatum,"Igor Kalzada donostiarraren ‘alter ego’ artistikoa da FasTFatum. Disko bakarra kaleratu du, Harkaitz Cano idazlearekin elkarlanean.",1975,Donostia,"['Popa', 'Elektronikoa']",https://www.badok.eus/euskal-musika/fast-fatum
415,Fernalia,"Fernalia bikotea Joseba Agirrezabalagak eta Sokrates Garciak (Autoa, Akauzazte) osatzen dute.",,Azkoitia (Gipuzkoa),['[]'],https://www.badok.eus/euskal-musika/fernalia
421,Fizt & Furiuz,,2021,Luhuso (Lapurdi),['Metala'],https://www.badok.eus/euskal-musika/fizt-furiuz
