Ilargia eskuetan,44
Lotura,44
Atomo,45
Txortan,45
Hiru,45
Low,45
Oasia,45
Axuri,45
Errapa,45
Gabon,46
Kain,46
Duda-mudan,46
Herra,46
Ilunegi,46
Itsasoa,47
Lurrean,47
#,47
Nire bizitza,48
Je! Mou-te,48
Ados nago,48
Horiya,48
Ilegala,48
Ezbai,48
So Far Away From Me,48
Egunabarrean,48
Ez hildu ez,48
Aro,48
Maeva,48
Tamata,48
Gezurra ari du,49
Esaidazu,50
Bizitzaren kantua,50
Herioaren itzala,50
Eramazan katua,50
Abuztuko euria,50
Eguneroko honek,50
Juliek badaki,50
Galdutako trenak,50
Musika,51
Ispiluaren aurrean,52
Alone on my own,52
Emakumeak,52
Kristalezko kabian,52
Intro,53
Begira,53
Sua,53
Horrenbeste komedia,53
Aitzakiak,53
Ni ere bai,54
Aparteko mundua,55
Paradisuan,55
Denboraren bidaian,55
Entzun,55
Interludio,55
Benetako amodioa,55
Revolution,55
Them Belly Full (But We Hungry),55
Zu zeu,55
Azala ilunagoa,55
Errealitatea besterik ez,55
Horrenbeste komeria,55
Zapaldu dut lurra,56
Hankaz gora,56
Ez dugu astirik,56
Yo soy,56
Monstruito,56
Bada itxaropenik,56
Kantuz bizi naiz,56
Arimak ez du kolorerik,56
No nos paran,57
Zuen dantza,57
Recuérdame,57
Errefuxiatuak,57
Mundito mío,57
La kumbia,57
Banoa,57
Alla van!,57
Oxígeno,57
Aire-aire,57
Murru mutuak,57
Heteroaraua,57
Egitan al zen?,58
Gauza bera,58
Izama,59
Maskarak!,59
Sentipenen arteko dema,59
Denbora,59
Infinitua muga,59
Lehen munduko kezkak,59
Atzerapausoen galera,59
Itzalen argitasuna,59
Zai da,59
I,60
Hurbildu zaitez,61
Bihar negar,61
Holiday in Palm Springs,61
Bagoaz,62
Izozturiko eskuak,62
Arraiok ezpaittuk/n,62
Bidetxurretik,62
Noren ezteiak,62
Ni banaiz zu,62
Ekixozue!!,62
Ekhibegi!,62
Eskerrik asko,62
Tratante,62
Triki-mina,62
Errekaldeko Oliedino,62
Ontzi hutsak,62
Txinparta,62
Iturri zaharretik,62
Adio amets,62
Non gara?,63
Trankiketan,63
Perkaxa,63
(H)egoekin hegan,63
Dortokak eta zaldiak,63
Bidaia handiak,63
Begi bat ireki da,63
Saltamatxinoa,63
Txintxurkan,63
Paolo Sopraniren ametsak,63
Zipristin,63
Poxpoliña,63
Baratxuriak,63
Burnizko kateia,63
Mundua aldrebes,64
Utzi aske izaiten,64
Gauza oro,64
Hutsaren hatsa,64
Erre hitza,64
Ezinaren izenean,64
Esku eta lumek,64
Ai ama blues,64
Haizeen meneko,65
Bilatzen,65
Eragin,65
Hasperen,65
Sortu,65
Odol ixurien lurra,65
Goiz samina,65
Oihane,65
Amaieran,65
Zenbat galde,65
Sortu,66
Bilatzen,66
Gau ta egunez,66
Goiz samina,66
Hasperen,66
Laia,66
Ihes egin,66
Haizeen meneko,66
Gau eta egunez,67
Gezurra dirudi,67
Laia,67
Ezaren guda,67
Ez omen da berantegi,67
Ihes egin,67
Bring me the head of Arturo Fernandez,68
Errautsa esne mamitan,68
Larrazkena behazunez,68
Lumpenproletariat,68
AZK,69
Euli beltzak,69
Luze gabe,69
Urquinaona,69
ACAB,69
Bertsoa,69
EH ez da salgai,69
Zerri patt!,69
Kisulabe,69
Bestondo 'kauen dios,69
Eromenaren erreinua,70
Ezinezko ametsak,70
Ez gaude salgai,70
Mugarik gabe,70
Emanaldia,70
Hitzak,71
Genesia,71
Sorginen leizean,71
Ilargi gorrixa,71
Amina,71
Amantalen ahotsak,71
80 amandre,71
"Badoa, badirau",71
Sentitze berdinetik,71
Biziraun,71
Musika kaxa,72
Hau ez da leku_1,72
Zaila,72
Naufragoa eta ohola,72
Itxi begiak,72
Lerro gainean puntua,72
Zertarako ote nuen musika kaxa huts_1?,72
Beharra,72
Beldurra nabari zaizue,72
Suaren bueltan dantzan,72
Gaban arnasa,72
Musika kaxa (itxiera),72
Gure abestia iristen den leku guztietaraino,73
Zaila,73
Botila,73
Ispilua,73
BIzi,73
Hitzak,73
Gure abestia iristen den leku guztietaraino (amaiera),73
Ixo,74
Goxoki,75
Eko bat,75
Erabakiak,75
Sua nintzela,75
Ez det azkar heldu nahi,75
Trukean ezer ez,75
Orri geldoa,75
Pairamena,75
Denborari miresmena,75
Lontxoren karretilla,76
Mari-Eder,76
Ana Juanita,76
Zumeak,76
Neskato gazte tranpatia,76
Garagarrilean,76
Borta ttan ttan,76
Ilemozketa,76
Eskribauaren alaba,76
Artzain nindagoenian,76
Soldaduaren itzulera / Kükürükü,76
Estudiante kondenatua,76
Urrutiako anderea / Kurri trufak,76
Andre Emili,76
Yolanda,77
Mus Urrutia,77
Arreba Juana,77
Ormaizteiko olkik,77
Kattaliñaño,77
Prantziako anderea,77
Testamenduarena,77
Lehen pausoak,77
Birgitta-ri,77
Desertura,77
Banbruxaneko nausia,77
Esteinibar,77
Goien tenploan,77
Eskalearena,77
Arantzazura nijuanian,77
"Eia, eia",78
Hala ere,78
Semeari,78
Euskal Herri poeta,78
Arrosako zolan,78
Maitasun honek zugan dirudi,78
Gogo eta gorputzaren zilbor-hesteak,78
Neska bat haur beharretan,78
Hitzak dira,78
Lore bat zauri bat,78
Mendiaren deia,78
Martxa baten lehen notak,78
Ni gatibu hartzeko,78
Zeruan,79
Bidaia,79
Ametsetako lilia,79
Argi ilunak,79
Gabonak heldu dira,79
Miseriaren jabe,79
Bakardadeaz,79
Artxibatutako urteak,79
Hostoarena,80
Argi-izpi,80
Harkaitza bezain sendo,80
Pasitan,80
Etorriko al zara? (Wild Mountain Thyme),80
Epe! Geroarte! (2019),80
Mayo,80
Artxandara begira,80
An Idea (Passacaglia for Eli),80
Goizeko izar,81
Herrien herria,81
Taxia,81
Noiz,81
Kailorazik ez,81
Nire bertsoak badaki,81
Neure kantuaren zantzuta,81
Bat egin genuenetik,81
Amets,81
Independentzia,81
Itsas gizon gaia,81
Txabolismoa,81
Naizena izan arte,82
Aitarekin herria,82
Zu zaitut,82
Marinela eta lamia,82
Inoiz ez da berandu,82
Beste behin ere,82
Amodio gordea,82
Urrutiminez,82
Back to Donostia,82
Aita Mari I eta II,82
Aita Mari III,82
Aita Mari IV,82
Ongi egin duk mutil,83
Hamalau herriko seme,83
Euskal presoei egindako balada,83
Peru baserritarra,83
Arrantzalearen emaztea,83
"Berrehun milla, ez",83
Ez da zutaz inor oroitzen,83
Itsasoan preso,83
Lorea ta biok,84
Donostia,84
Zu nerea baziña,84
Beti gose,84
"Paisaiak - Polysix, Blip 010, Adonai",85
Boga boga,85
Crystal Meditation for Nerea,85
"Hutsunea, pianoa eta biolina A maiorren",85
OA,85
Polizia etxea,85
Polysix eta Nickleharpa,85
Pattern202,85
Ez da amaiera bat,85
"HA korua, biola + Biolina A maiorren",85
Armarik ez,85
draft 1_HA,85
