115,Bertako intxaurrak ere...,https://www.badok.eus/euskal-musika/akelarre/bertako-intxaurrak-ere,Rocka,False,1999,58
116,13?,https://www.badok.eus/euskal-musika/akelarre/13,Rocka,False,1997,58
117,Torkemada,https://www.badok.eus/euskal-musika/akelarre/torkemada,,False,1995,58
118,Herrikoiak,https://www.badok.eus/euskal-musika/akelarre/herrikoiak,,False,1994,58
119,Hator,https://www.badok.eus/euskal-musika/akelarre/hator,,False,1993,58
120,Akerraldian,https://www.badok.eus/euskal-musika/akelarre/akerraldian,Plaza,False,1991,58
121,7-90,https://www.badok.eus/euskal-musika/akelarre/7-90,Rocka,False,1990,58
122,Gauero zuzenean,https://www.badok.eus/euskal-musika/akelarre/gauero-zuzenean,Rocka,False,1987,58
123,Rockzale,https://www.badok.eus/euskal-musika/akelarre/rockzale,,False,1986,58
124,Mari,https://www.badok.eus/euskal-musika/akelarre/mari,,False,1985,58
125,Ari gara,https://www.badok.eus/euskal-musika/akelarre/ari-gara,"Plaza, Rocka",False,1984,58
126,Gau pasa,https://www.badok.eus/euskal-musika/akelarre/gau-pasa,Rocka,False,1982,58
127,2. Korrika,https://www.badok.eus/euskal-musika/akelarre/2-korrika,Rocka,True,1982,58
128,Asfaltuko lorea,https://www.badok.eus/euskal-musika/akelarre/asfaltuko-lorea,"Plaza, Rocka",False,1980,58
129,Mairu beso,https://www.badok.eus/euskal-musika/aker-odol/mairu-beso,"Metala, Thrasha",False,2016,59
130,Akoka,https://www.badok.eus/euskal-musika/akoka/akoka,Pop-rocka,False,1992,60
131,Ihaute,https://www.badok.eus/euskal-musika/akts/ihaute,Elektronikoa,False,2023,61
132,Mikel Errazkin. Bidean aurkitu zintudan (Askoren artean),https://www.badok.eus/euskal-musika/alaitz-eta-maider/mikel-errazkin-bidean-aurkitu-zintudan-alaitz-eta-maider-askoren-artean,Triki-popa,True,2008,62
133,Kilometroak 2006 (Askoren artean),https://www.badok.eus/euskal-musika/alaitz-eta-maider/kilometroak-2006-askoren-artean,,True,2006,62
134,Auskalo,https://www.badok.eus/euskal-musika/alaitz-eta-maider/auskalo,Triki-popa,False,2002,62
135,Inshala,https://www.badok.eus/euskal-musika/alaitz-eta-maider/inshala,Triki-popa,False,1999,62
136,Alaitz eta Maider,https://www.badok.eus/euskal-musika/alaitz-eta-maider/alaitz-eta-maider,Triki-popa,False,1997,62
137,Udaberrian (SG-DG),https://www.badok.eus/euskal-musika/alarma-morea/udaberrian-sg-dg,"Popa, Runba",True,2021,63
138,Ez beti da ez,https://www.badok.eus/euskal-musika/alarma-morea/ez-beti-da-ez,"Popa, Runba",True,2019,63
139,Anomia,https://www.badok.eus/euskal-musika/alba/anomia,Post-rocka,False,2019,64
140,Haizetxe,https://www.badok.eus/euskal-musika/alberto-lizarralde/haizetxe,Esperimentala,False,2023,65
141,"Lurra, ur, haize",https://www.badok.eus/euskal-musika/alboka/lurra-ur-haize,Folka,False,2017,66
142,Lau anaiak,https://www.badok.eus/euskal-musika/alboka/lau-anaiak,Folka,False,2004,66
143,Lorius,https://www.badok.eus/euskal-musika/alboka/lorius,Folka,False,2001,66
144,Bi beso lur,https://www.badok.eus/euskal-musika/alboka/bi-beso-lur,Folka,False,1998,66
145,Alboka,https://www.badok.eus/euskal-musika/alboka/alboka,Folka,False,1994,66
146,Otazu Blues,https://www.badok.eus/euskal-musika/albosax/otazu-blues,Folka,False,2022,67
147,Rock Etxearentzat 2!!,https://www.badok.eus/euskal-musika/algoritmotik-at/rock-etxearentzat-2,"Post-hardcorea, Punk-rocka",False,2022,68
148,20 urte zuzenean,https://www.badok.eus/euskal-musika/alos-quartet/20-urte-zuzenean-1,Folka,False,2020,69
149,Lau,https://www.badok.eus/euskal-musika/alos-quartet/lau-1,"Folka, Klasikoa",False,2019,69
150,Garden,https://www.badok.eus/euskal-musika/alos-quartet/garden,,False,2015,69
151,Ero,https://www.badok.eus/euskal-musika/alter-ego/ero-2,Rocka,False,2019,70
152,Sanfermines 78 gogoan! (Askoren artean),https://www.badok.eus/euskal-musika/altxatu/inpunitateari-stop-askoren-artean,Punk-rocka,True,2018,71
153,Hegalen indarraz aitzina,https://www.badok.eus/euskal-musika/altxatu/hegalen-indarraz-aitzina,Punk-rocka,False,2016,71
154,Hitza,https://www.badok.eus/euskal-musika/altxatu/hitza,Punk-rocka,False,2014,71
155,Altxatu,https://www.badok.eus/euskal-musika/altxatu/altxatu,Punk-rocka,False,2013,71
156,Altzükütarrak Vol. 5,https://www.badok.eus/euskal-musika/altzukutarrak/altzukutarrak-vol-5,Herri kanta,False,1999,72
157,Altzükütarrak Vol. 4,https://www.badok.eus/euskal-musika/altzukutarrak/altzukutarrak-vol-4,Herri kanta,False,1993,72
